sync,phase,uploadRequests,uploadRequestsCumulative,uploadSeconds,storageBytes,restoreRequests,restoreBytes,restoreSeconds,restoreIndex,restoreData,restoreOther
467,backup,13,6071,1.212,1904157168,,,,,,
468,backup,13,6084,1.177,1908813157,,,,,,
469,backup,13,6097,1.149,1913521369,,,,,,
470,backup,13,6110,1.171,1917929533,,,,,,
471,backup,13,6123,1.237,1922113396,,,,,,
472,backup,13,6136,1.187,1926994005,,,,,,
473,backup,13,6149,1.203,1932250299,,,,,,
474,backup,13,6162,1.313,1935684195,,,,,,
475,backup,13,6175,1.145,1938566138,,,,,,
476,backup,13,6188,1.1,1941611284,,,,,,
477,backup,13,6201,1.164,1946015542,,,,,,
478,backup,13,6214,1.131,1949632208,,,,,,
479,backup,13,6227,1.125,1952901062,,,,,,
480,backup,13,6240,1.242,1959119221,,,,,,
481,backup,13,6253,1.105,1961309110,,,,,,
482,backup,13,6266,1.212,1967137649,,,,,,
483,backup,13,6279,1.175,1971368730,,,,,,
484,backup,13,6292,1.265,1977673550,,,,,,
485,backup,13,6305,1.264,1983978331,,,,,,
486,backup,13,6318,1.137,1988069548,,,,,,
487,backup,13,6331,1.144,1991144074,,,,,,
488,backup,13,6344,1.164,1996217832,,,,,,
489,backup,13,6357,1.187,2000732794,,,,,,
490,backup,13,6370,1.185,2004415867,,,,,,
491,backup,13,6383,1.207,2008740587,,,,,,
492,backup,13,6396,1.14,2012806613,,,,,,
493,backup,13,6409,1.076,2014728354,,,,,,
494,backup,13,6422,1.116,2017624913,,,,,,
495,backup,13,6435,1.208,2021570820,,,,,,
496,backup,13,6448,1.209,2024205253,,,,,,
497,backup,13,6461,1.198,2029326738,,,,,,
498,backup,13,6474,1.186,2034116287,,,,,,
499,backup,13,6487,1.208,2038323805,,,,,,
500,backup,13,6500,1.113,2041366761,662,207608944,34.868,501,152,9
501,backup,13,6513,1.125,2044266598,,,,,,
502,backup,13,6526,1.24,2051739333,,,,,,
503,backup,13,6539,1.143,2056814733,,,,,,
504,backup,13,6552,1.3,2063927634,,,,,,
505,backup,13,6565,1.138,2068029740,,,,,,
506,backup,13,6578,1.15,2070883433,,,,,,
507,backup,13,6591,1.113,2073130278,,,,,,
508,backup,13,6604,1.121,2077287147,,,,,,
509,backup,13,6617,1.228,2081787360,,,,,,
510,backup,13,6630,1.07,2083992662,,,,,,
511,backup,13,6643,1.187,2087464331,,,,,,
512,backup,13,6656,1.195,2091630331,,,,,,
513,backup,13,6669,1.257,2096929681,,,,,,
514,backup,13,6682,1.174,2099906527,,,,,,
515,backup,13,6695,1.174,2104114070,,,,,,
516,backup,13,6708,1.143,2107296346,,,,,,
517,backup,13,6721,1.222,2113085268,,,,,,
518,backup,13,6734,1.12,2116506299,,,,,,
519,backup,13,6747,1.151,2119566275,,,,,,
520,backup,13,6760,1.247,2126821356,,,,,,
521,backup,13,6773,1.105,2130242237,,,,,,
522,backup,13,6786,1.301,2137682386,,,,,,
523,backup,13,6799,1.13,2140097663,,,,,,
524,backup,13,6812,1.23,2145211291,,,,,,
525,backup,13,6825,1.114,2148107808,,,,,,
526,backup,13,6838,1.16,2152577265,,,,,,
527,backup,13,6851,1.209,2156769085,,,,,,
528,backup,13,6864,1.127,2159927699,,,,,,
529,backup,13,6877,1.125,2162588017,,,,,,
530,backup,13,6890,1.163,2166971423,,,,,,
531,backup,13,6903,1.182,2171725398,,,,,,
532,backup,13,6916,1.211,2176457300,,,,,,
533,backup,13,6929,1.194,2181886576,,,,,,
534,backup,13,6942,1.17,2185951287,,,,,,
535,backup,13,6955,1.201,2190322892,,,,,,
536,backup,13,6968,1.359,2196116298,,,,,,
537,backup,13,6981,1.181,2200225484,,,,,,
538,backup,13,6994,1.205,2205698550,,,,,,
539,backup,13,7007,1.156,2209661568,,,,,,
540,backup,13,7020,1.265,2216228484,,,,,,
541,backup,13,7033,1.149,2219330978,,,,,,
542,backup,13,7046,1.207,2222227381,,,,,,
543,backup,13,7059,1.302,2227218585,,,,,,
544,backup,13,7072,1.147,2230127989,,,,,,
545,backup,13,7085,1.215,2233025144,,,,,,
546,backup,13,7098,1.19,2236939792,,,,,,
547,backup,13,7111,1.379,2239836227,,,,,,
548,backup,13,7124,1.209,2244911519,,,,,,
549,backup,13,7137,1.27,2249665406,,,,,,
550,backup,13,7150,1.29,2255076724,,,,,,
551,backup,13,7163,1.324,2262168146,,,,,,
552,backup,13,7176,1.25,2267424151,,,,,,
